epoch,train_loss,val_loss,auc,f1,acc,avg_prob
1,0.7116,0.5046,0.6258,0.8857,0.7966,0.6874
2,0.6417,0.5533,0.6604,0.8586,0.7627,0.6044
3,0.6237,0.5380,0.6502,0.8290,0.7203,0.6576
4,0.6310,0.3713,0.6478,0.9315,0.8729,0.7778
5,0.5898,0.4662,0.6785,0.8571,0.7627,0.7139
6,0.5683,0.3887,0.6274,0.9202,0.8559,0.8387
7,0.5381,0.4430,0.5936,0.9057,0.8305,0.7688
8,0.5161,0.3947,0.7783,0.8856,0.8051,0.7539
9,0.5012,0.5167,0.6958,0.8660,0.7797,0.6595
10,0.4340,0.3956,0.7484,0.9000,0.8305,0.7650
11,0.4017,0.3577,0.7539,0.9282,0.8729,0.8479
12,0.3645,0.3423,0.8003,0.9333,0.8814,0.8489
13,0.3520,0.4044,0.6816,0.9091,0.8390,0.8156
14,0.3455,0.3994,0.7351,0.9296,0.8729,0.8658
15,0.2826,0.4684,0.7123,0.8780,0.7881,0.7999
